AM | ACIDO MURIATICO  | EFECTIVO | INSTALACION |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
VITZEN091 | ACRA BEIGE 60 X 60 BETZEN CERAMICS 1.44 X CJA (S) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
VITZEN092 | ACRA GRIS 60 X 60 BETZEN CERAMICS 1.44 X CJA (L) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160013578 | ACROPOLIS GRIS 60 X 60  1.44 X CJA | CAMEX  | MARMOLEADOS VITRIFICADOS  |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
VITZEN070 | ACROPOLIS GRIS 60 X 60 BETZEN CERAMICS 1.44 XCJA (S) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160027727 | AGATHA ROJO 60 X 60 TWYFORD 1.44 XCJA | TWYFORD | VITRIFICADOS  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
P6066 | AGE WOOD VIDRIFICADO 60 X 60 FLOOR TILE 1.44XCJA | FLOOR TILE  | DOBLE CARGA |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
311001103 | AITICUS GREY 60 X 60 TWYFORD 1.44 X CJA | TWYFORD | PORCELANATO PULIDO |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
VITCAM046 | ALABAMA DAKOTA NATURAL 60 X 60 BETZEN CERAMICS 1.44XCJA | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
SRV6502 | ALASKA 60 X 60 BETZEN CERAMICS 1.44 X CJA (L) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
SA6001 | ALAYA BLANCO 60 X 60 BETZEN CERAMICS 1.44XCJA | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
AB | ALFA BLUE MATE 60 X 60 BETZEN CERAMICS 1.44XCJA | BETZEN CERAMICS | MATES 60X60 |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
ABM | ALFA BROWN MATE 60 X 60 BETZEN CERAMICS 1.44XCJA | BETZEN CERAMICS | MATES 60X60 |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
ZP6001 | ALICANTE BLANCO 60 X 60 BETZEN CERAMICS 1.44XCJA  | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
Z6337 | ALICANTE NEGRO  60X60 1.44XCJA (S) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160017766 | ALICANTE NEGRO 60 X 60 TWYFORD 1.44XCJA | TWYFORD | VITRIFICADOS  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
VITZEN107 | ALICANTE NEGRO 60X60 BETZEN CERAMICS 1.44XCJA (L) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
D611 | ALICANTE ROJO 60 X 60 1.44 XCJA | FULL POLISHED GLAZED TILE  | VITRIFICADOS | - | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
160016001 | ALLURE BLANCO 45 X 45 TWYFORD | TWYFORD | PISOS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
160016002 | ALLURE NEGRO 45 X 45 TWYFORD | TWYFORD | PISOS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
LPY66053 | ALMEIRA 053 60X60 1.44XCJA (S) | PORCELATINO | VITRIFICADO 60X60 | 00 | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160003608 | ALMENDRA AZUL 30 X 30 TWYFORD  | TWYFORD | PISOS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
ABC-101 D | ALMOHADA GRIS 30 X 60 AB CERAMICA  0.90XCJA | AB CERAMICA | MAYOLICA HINDU |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
ABC-101 L | ALMOHADA PLATA 30 X 60 AB CERAMICA  0.90XCJA | AB CERAMICA | MAYOLICA HINDU |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
PPY66055 | ALPEN  60X60 1.44XCJA (L) | PORCELATINO | VITRIFICADO 60X60 | 00 | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
ALPINE CHOCO | ALPINE CHOCO 1.20X60 1.44XCJA | FLOOR TILE  | MADERAS  |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
RUSZEN010 | ALPINO GRIS 60 X 60 BETZEN CERAMICS 1.44XCJA | BETZEN CERAMICS | MATES 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160032542 | AMARELO NACAR 60 X 60 TWYFORD 1.44 XCJA | TWYFORD | VITRIFICADOS  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
VITZEN039 | AMAZON GRIS 60 X 60 BETZEN CERAMICS 1.44 XCJA | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
SWJMS | ANCLAJE | ACCESORIOS  PARA BAÑO | ACCESORIOS PARA BAÑO |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
MAYZEN020C | ANDREA GRIS 30 X 60 BETZEN CERAMICS 1.62XCJA | BETZEN CERAMICS | MAYOLICAS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
MAYZEN020A | ANDREA PLATA 30 X 60 BETZEN CERAMICS 1.62XCJA | BETZEN CERAMICS | MAYOLICAS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
00289 | ANILLO DE CERA C/ GUIA | ACCESORIOS  PARA BAÑO | ACCSESORIOS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
00290 | ANILLO DE CERA SIN GUIA | ACCESORIOS  PARA BAÑO | ACCSESORIOS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
B660372 | ANKARA BEIGE 60 X 60 POLISHED GLAZED TILES 1.44XCJA | PORCELAIN TILE  | VITRIFICADOS  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
MB6Y188 | ANTALAYA GRIS 60 X 60 GLAZED TILE 1.44XCJA | GLAZED TILE  | PORCELNATO |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
VITZEN12001 | ANTHRACITE 1.20 X 60 GLAZED TILES 2.16XCJA (3PZ) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
123456789 | ANTICIPOS | OTROS | OTROS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
LLG36040 | ANTONELLA 30X60 1.62 X CJA (S) | BETZEN CERAMICS | MAYOLICAS |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
CASTEL | ANTRACITA MARRON 60 X 60 CASTEL 1.44XCJA | CASTEL | MATES |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
160015810 | ANTRACITA VERDE 60 X 60  MICASSO  1.44 XCJA | MICASSO | MATE  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
160006390 | APENINO BEIGE 60 X 60 MICASSO 1.44XCJA | MICASSO | MATE  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
123456 | APLIC. DE ANTICIPO  | OTROS | OTROS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
APUANE STATUARIO | APUANE STATUARIO 2.40X0.80 1.92 X CAJA (1PZ)	 | PORCELATINO | VITRIFICADO 60X60 | 00 | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
160029687 | APUANO BICELADO 30 X 60 TWYFORD 1.62XCJA | TWYFORD | MAYOLICAS  |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
LLG36039 | APUANO BLANCO  30X60  1.62 X CJA | BETZEN CERAMICS | MAYOLICAS |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
Z3607 | APUANO BLANCO 30 X 60 BETZEN CERAMICS 1.62 X CJA	 | BETZEN CERAMICS | MAYOLICAS |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
MAYSRK013 | APUANO BLANCO 30 X 60 BETZEN CERAMICS 1.62XCJA | BETZEN CERAMICS | MAYOLICAS |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
Z9005 | APUANO BLANCO 30 X 60 CERAMIC WALL TILES 1.80 X CJA | CERAMIC WALL TILE  | MAYOLICA |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160029686 | APUANO BLANCO 30 X 60 TWYFORD 1.62XCJA | TWYFORD | MAYOLICAS  |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
311009846 | APUANO BLANCO 30 X 60 WALL TILE 1.44 X CJA | WALL TILE  | MAYOLICA  |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
FERNANDO | APUANO BLANCO 30 X 60 WALL TILE 1.62 X CJA | WALL TILE  | MAYOLICA  |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
160016911 | AQUA AZUL  25 x 50 CERAMIC WALL TILE  | CERAMIC WALL TILE  | AQUA |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
160016909 | AQUA CELESTE 25 x 50 CERAMIC WALL TILE  | CERAMIC WALL TILE  | AQUA |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
SR6079 | AQUARIUM  60X60 BETZEN CERAMIC 1.44XCJ (S) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
VITZEN076 | ARABIA GREY 60 X 60 BETZEN CERAMICS 1.44 X CJA (S) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
MAYZEN019A | ARABICA BEIGE 30 X 60 BETZEN CERAMICS 1.62XCJA | BETZEN CERAMICS | MAYOLICAS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
MAYZEN019D | ARABICA CARAMELO 30 X 60 BETZEN CERAMICS 1.62XCJA | BETZEN CERAMICS | MAYOLICAS |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
VITCAC008 | ARAÑA GRIS 60 X 60 BETZEN CERAMICS 1.44XCJA | ARLETT | PORCELANATOS  |  | 10 | Si | Si | Si | No |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | No | 0
60306 | ARBOR 60306 60X60 2.52XCJA |  BRASILEÑO | SUBLINEA 1 | Ninguno | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
VITZEN083 | ARCADIA BLANCO 60 X 60 BETZEN CERAMICS 1.44 X CJA (L) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | Si | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
Z6332 | ARMANI 60 X 60 BETZEN CERAMICS 1.44 X CJA (S) | BETZEN CERAMICS | VITRIFICADOS 60X60 |  | 10 | No | Si | Si | Si |  |  |  |  |  |  |  |  |  | 0 | 0 | Vender en Negativos | Si | 0
